sym,spread,spread_sd,slip,costo,prof_ask,n_ok,qv24,rank
AVGOBUSDT,0.03880312169162347,0.031356633332345514,0.21567543672459943,0.41567543672459945,205072.19659,2,631419.21574,245
CHZUSDT,0.06971070059253812,0.0,0.2875192912399793,0.4875192912399793,123798.43566,2,628832.45068,246
SENTUSDT,0.07914523149979891,0.0,0.5113101016459065,0.7113101016459065,105991.3343,2,628826.47981,247
PARTIUSDT,0.4140786749482377,0.0,0.9061931277203727,1.1061931277203727,150685.836905,2,624679.17798,248
MEUSDT,0.0434688120406406,8.907365576775816e-06,0.3214149123775101,0.52141491237751,74305.1376114,2,620258.2033234,249
SCUSDT,0.15209125475283894,0.0,1.3134569297507837,1.5134569297507836,71710.55405850001,2,617392.286647,250
0GUSDT,0.06197709229103675,5.4322184353768876e-05,0.4278557231943536,0.6278557231943536,427169.48482750007,2,614888.893601,251
METUSDT,0.09227220790897606,3.0102101004617685e-05,0.676520488878618,0.876520488878618,43909.46323,2,614462.55126,252
CBRSBUSDT,0.10133604283411847,3.8217234095106964e-05,0.3354126935325663,0.5354126935325663,217413.49306,2,614301.85626,253
BERAUSDT,0.1405205118566651,0.03982561339266063,0.7402769612542104,0.9402769612542103,54928.410909800004,2,584961.9911167,254
LAUSDT,0.18050556219418412,0.00023039116798644754,0.6818711152038914,0.8818711152038914,132218.163455,2,578006.20896,255
KATUSDT,0.21762785636560592,0.0,0.5985450249934854,0.7985450249934853,138167.39914,2,567093.34244,256
OGUSDT,0.0501532463410351,0.023637196779521467,0.445346880453229,0.645346880453229,66431.6688,2,562769.4434,257
YBUSDT,0.1089327527146447,0.0002517225102543877,1.3468729860671103,1.5468729860671102,84970.27175000001,2,562530.95418,258
AIXBTUSDT,0.14133166526304536,0.0665825298744049,0.8385509899566268,1.0385509899566268,59724.4300285,2,556505.934036,259
ARKMUSDT,0.12822339885187028,0.060410638428065405,0.7313432940118769,0.9313432940118769,147538.879815,2,555068.13783,260
