ranking,objetivo,semanas,spread,sd_sem,sem_ok,p,spread_crudo,atr_ratio,atr_propio,sin_top3,sin_top1,fdr_ok,veredicto
beta_DXY x d_DXY ~ sin roc_168,magnitud,194,6.031315140757483,69.02125911413664,0.4793814432989691,0.0405,0.005278548949303022,1.022334107315663,0.8104049726972005,-0.11373575100179155,0.24219965786598668,False,muere en la correccion (FDR q=0.1)
beta_NDX x d_NDX ~ sin roc_168,magnitud,194,5.981120626430846,69.293506224732,0.4175257731958763,0.0475,-0.0025660395085202624,0.9878765837756566,0.8052640522507758,-0.346950632773331,0.10391804398705692,False,ARTEFACTO DE ESCALA (atr_ratio 0.99)
beta_VIX x d_VIX ~ sin roc_168 [bajo],magnitud,195,4.905729556603597,68.29765697411281,0.5333333333333333,0.163,-0.0015773603633738146,0.9544590191515274,0.819796900568716,0.07591341343745694,0.3607230026551894,False,ARTEFACTO DE ESCALA (atr_ratio 0.95)
beta_VIX x d_VIX [bajo],magnitud,195,4.561241526296625,68.31979395935385,0.46153846153846156,0.236,-0.0060286909959126975,0.9340747178614087,0.8001003669847204,-0.22700105783212507,0.03888372136421959,False,ARTEFACTO DE ESCALA (atr_ratio 0.93)
beta_ORO,magnitud,195,4.31904283131855,68.17309520432883,0.441025641025641,0.2905,0.01495082170710731,1.0537426030150416,0.80801087395259,-0.31915909713164564,-0.1154285139609513,False,muere en la correccion (FDR q=0.1)
beta_ORO ~ sin roc_168,magnitud,195,4.274438929042654,68.14986909316303,0.41025641025641024,0.2965,0.014008902482025007,1.0515677261514265,0.8098723530805416,-0.2882606784662273,-0.1300295691396193,False,muere en la correccion (FDR q=0.1)
beta_ORO x d_ORO ~ sin roc_168 [bajo],magnitud,194,4.03822014022496,68.26078235762002,0.3917525773195876,0.334,0.011032255704874436,1.057332168694601,0.8110650153927361,-0.3902137381366072,-0.1288695442598927,False,muere en la correccion (FDR q=0.1)
beta_ORO x d_ORO [bajo],magnitud,194,3.9745283334686605,68.29367561897142,0.4020618556701031,0.3405,0.008842151377828227,1.0439061143043904,0.8018051709450401,-0.395053072759905,-0.16948539066930826,False,muere en la correccion (FDR q=0.1)
beta_VIX x d_VIX,magnitud,195,-0.2982263433692482,35.14137728525764,0.46153846153846156,1.0,-0.0005571072489314873,0.974583203073554,0.8132781476078259,0.004947445617735633,0.9485538388751753,False,spread <= 0
beta_VIX x d_VIX ~ sin roc_168,magnitud,195,-0.5685827427271167,35.02913514401214,0.4461538461538462,1.0,-0.004701845198088935,0.9747428312831097,0.8048949724045488,-0.22966925953596531,0.6852445554829043,False,spread <= 0
beta_ORO x d_ORO,magnitud,194,-0.6465103233178429,34.88232110456766,0.5,1.0,0.016332222015499293,1.0794003363158573,0.8229941647206206,-0.15208933387414755,0.28978392420977167,False,spread <= 0
beta_ORO x d_ORO ~ sin roc_168,magnitud,194,-0.7011149592977474,34.87496460871252,0.4793814432989691,1.0,0.01354272314132097,1.063394966611767,0.8189356331895792,-0.1593674960987423,0.2672891068609726,False,spread <= 0
